Sun 8 12:06:08 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 9
Sun 8 12:06:08 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 10
Sun 8 12:06:08 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 11
Sun 8 12:06:08 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 8 12:09:22 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 9
Sun 8 12:09:22 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 10
Sun 8 12:09:22 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 11
Sun 8 12:09:22 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 8 12:11:14 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 9
Sun 8 12:11:14 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 10
Sun 8 12:11:14 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 11
Sun 8 12:11:14 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 20
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant ROLE_MODERATOR already defined in C:\OpenServer\domains\job\app\config\config.php on line 22
Sun 8 13:08:12 TGM php: [NOTICE] E_NOTICE: Constant API_URL already defined in C:\OpenServer\domains\job\app\config\config.php on line 25
Sun 8 13:14:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_OK already defined in C:\OpenServer\domains\job\app\config\config.php on line 13
Sun 8 13:14:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_WRONG already defined in C:\OpenServer\domains\job\app\config\config.php on line 14
Sun 8 13:14:12 TGM php: [NOTICE] E_NOTICE: Constant STATUS_ALREADY_EXISTS already defined in C:\OpenServer\domains\job\app\config\config.php on line 15
Sun 8 13:14:12 TGM php: [NOTICE] E_NOTICE: Constant ROLE_GUEST already defined in C:\OpenServer\domains\job\app\config\config.php on line 20
Sun 8 13:14:12 TGM php: [NOTICE] E_NOTICE: Constant ROLE_USER already defined in C:\OpenServer\domains\job\app\config\config.php on line 21
